id,Author,Text,User Location,Tweet Country,created_at
1356279589148901377,mdopdz,"RT @Mar_a_Hell_No: The Biden administration has now confirmed that
20 million doses of the Covid-19 vaccine are ""missing.""

Several weeks a…",,None,2021-02-01 16:33:47
1356279589765599237,Chief_Tasker,RT @HealthFreedomIE: On a cold winter’s morning a cohort of legal and medical professionals came together to speak about their personal exp…,,None,2021-02-01 16:33:47
1356279590784798720,AKAZU73verizon1,@RibblesdaleC @CaptnKennysFr Hey—hang in there. At work trying to navigate through the COVID-19 environment for you… https://t.co/m2ahg8FU1O,"Florida, USA",None,2021-02-01 16:33:47
1356279591711756290,tommer100,"RT @SamanthaJPell: Dmitry Orlov will be in the lineup tonight vs Boston, per Laviolette. He's missed 5 games. Ovechkin will probably see an…",,None,2021-02-01 16:33:47
1356279593095688192,nratqhz_,RT @ayshardzn: Perth now under full lockdown for 5 days after one COVID-19 case detected. One.,,None,2021-02-01 16:33:48
1356279595318669312,Khoa86465023,RT @CNNPolitics: Here's what we know so far about the differences between the two Covid-19 relief packages https://t.co/99J3x8pIkk,,None,2021-02-01 16:33:48
1356279597025804296,muizkhairuddin_,RT @ayshardzn: Perth now under full lockdown for 5 days after one COVID-19 case detected. One.,,None,2021-02-01 16:33:49
1356279597101408263,RockerVinz,"RT @awakenedavi: This is what India is earning from #VaccineMaitri 🙏🏽🌹
A great friendship from all the great nations around the world.
Lets…",,None,2021-02-01 16:33:49
1356279597625700356,Fisher_DanaR,"RT @MarchForScience: According to new research, the United States’ handling of the COVID-19 pandemic ranks 94th out of 98 countries studied…",socially distant 😷,None,2021-02-01 16:33:49
1356279598695124993,WendyAiello,"RT @AuroraGov: The @CDPHE is seeking public feedback on a proposed update to the COVID-19 dial. Feedback is due by 5 p.m. today, Feb. 1. Vi…","Denver, CO",None,2021-02-01 16:33:49
1356279598908985344,happecactus,That kinda sucks for us now.,Philippines,None,2021-02-01 16:33:49
1356279599299231751,CBSEveningNews,A group of 10 Republican senators are set to meet with Pres. Biden Monday to propose an alternative COVID-19 relief… https://t.co/acLeLo4AI9,📺 6:30pm ET,None,2021-02-01 16:33:49
1356279599387172864,theWoolly1,RT @tleehumphrey: It’s actually not complicated @RosieBarton the EU mechanism doesn’t give Canada an exemption so what you need to wrap you…,"S W of Calgary, Alberta",None,2021-02-01 16:33:49
1356279600205197312,EnnisLibrary,"Good news over the weekend for Ellis County residents wanting the COVID-19 vaccine! 
Create a free MyBSWHealth acco… https://t.co/r9jO4CQaig","Ennis, TX",None,2021-02-01 16:33:49
1356279600582713347,WelshGovernment,"RT @PublicHealthW: Nurse Consultant Anne McGowan talks about the COVID-19 vaccines and how it is more important than ever for all of us, wh…",Wales,None,2021-02-01 16:33:49
1356279600591024130,MichaelZenteno2,"RT @DoriToribio: “At the current rates of vaccination, only about 10% of the world would be inoculated by the end of the year and 21% by th…","Lima, Peru",None,2021-02-01 16:33:49
1356279600465240064,daytradingjay,"$HCMC - makes you wonder why smoking is not a pandemic.

480,000 Deaths a year from smoking tobacco products. 

441… https://t.co/rDzt5AWgOS",,None,2021-02-01 16:33:49
1356279601161449473,Melanated_Monas,"RT @shailjapatel: Senseless apartheid. Undocumented African migrants construct South Africa's buildings, clean South Africa's homes and off…","Cape Town, South Africa",None,2021-02-01 16:33:50
1356279601861943296,KremserDoris,"RT @SciShow: We know more about those COVID-19 variants and how they might be affected by vaccines. 

It may not be great news but behind t…",,None,2021-02-01 16:33:50
1356279602814050304,LieutenancySY,"RT @VisitDoncaster: Doncaster businesses in the retail, leisure &amp; hospitality sector, we need your feedback on the impact that Covid-19 has…",,None,2021-02-01 16:33:50
1356279603266953216,Amrit67226063,Middle class ko humesa thaga hai Modi government,"Dhanbad, India",None,2021-02-01 16:33:50
1356279603929735172,laurenlearn,"RT @JohnGunter: This headline is wrong and facilities a mistrust in our leaders.

Travel bans aren't bad for the travel industry, the pande…",Winnipeg,None,2021-02-01 16:33:50
1356279604416167942,MeyerLanskyLive,RT @LisaHagan7: Do you think that the Democrats should pass the COVID-19 relief package without the support of the GOP?,The Silent Majority ,None,2021-02-01 16:33:50
1356279605682958336,LilithGardener,"RT @Mar_a_Hell_No: The Biden administration has now confirmed that
20 million doses of the Covid-19 vaccine are ""missing.""

Several weeks a…","New York, NY",None,2021-02-01 16:33:51
1356279605615853568,RaheelSolangi3,"RT @MirSohrab: SINDH - first &amp; only province which is seriously challenging COVID-19 by taking effective, preemptive &amp; right measures to cu…",,None,2021-02-01 16:33:51
1356279607952101376,WalsallCouncil,"@donnaford Hi Donna, COVID-19 vaccination centres are managed by the NHS and are operating as normal.","Walsall, West Midlands, UK",None,2021-02-01 16:33:51
1356279608035958785,Amblers1212,"RT @Hillingdon: The COVID-19 vaccine is free of charge on the NHS. 

They will never ask for: 

❌ your bank account or card details 
❌ your…",Uxbridge,None,2021-02-01 16:33:51
1356279608207806464,C2squaredComm,New variant blamed for surge in COVID-19 deaths in LA https://t.co/m2PNytz6do,"Washington, DC",None,2021-02-01 16:33:51
1356279610556628997,3xOscarWinner,"RT @SvenAntifaCat: 1 person every 11 minutes and 36 seconds for today.

7-day average is 1 person every 6 minutes and 42 seconds.

https://…",,None,2021-02-01 16:33:52
1356279610707730434,AudreyGarden,"RT @MSNBC: NYC Mayor de Blasio on how to streamline Covid-19 vaccine distribution: ""The federal government needs to step in, get every comp…",,None,2021-02-01 16:33:52
1356279612150575116,ronnieo1954,"RT @theflowernurse: The scam is falling apart. 

Pentagon says unspecified number of troops are refusing to get the COVID-19 vaccine https:…",,None,2021-02-01 16:33:52
1356279613509529610,anessia40,RT @Women4Biden: House Democrat calls for demographic breakdown on COVID-19 vaccines https://t.co/P7i161LV9A,,None,2021-02-01 16:33:52
1356279614256123904,bikerdoc54,"RT @DonaldJTrumpJr: In fairness, Joe Biden can’t remember where he is most of the time how the hell is he going to know where 20 million va…",,None,2021-02-01 16:33:53
